"expr","time","trial","memory_used"
"lm",1083282,63,117676432
"lmFast",757,63,117676432
"lmInternal",89903,64,117676432
"lmFast",672,64,117676432
"lm",1106721,64,117676432
"lmInternal",95211,65,117676432
"lmFast",4360,65,117676432
"lm",1101031,65,117676432
"lm",1187841,66,117676432
"lmFast",969,66,117676432
"lmInternal",57409,66,117676432
"lmFast",1542,67,117676432
"lm",1260478,67,117676432
"lmInternal",70907,67,117676432
"lmFast",944,68,117676432
"lmInternal",80852,68,117676432
"lm",991573,68,117676432
"lmFast",1019,69,117676432
"lm",1169730,69,117676432
"lmInternal",54305,69,117676432
"lmInternal",80872,70,117676432
"lmFast",773,70,117676432
"lm",1114958,70,117676432
"lmInternal",86957,71,117676432
"lmFast",1019,71,117676432
"lm",1149018,71,117676432
"lmInternal",89481,72,117676432
"lmFast",873,72,117676432
"lm",1129551,72,117676432
"lmInternal",88213,73,117676432
"lmFast",851,73,117676432
"lm",1168279,73,117676432
"lmInternal",86140,74,117676432
"lmFast",1464,74,117676432
"lm",1143973,74,117676432
"lm",1252051,75,117676432
"lmInternal",52064,75,117676432
"lmFast",665,75,117676432
"lmFast",2173,76,117676432
"lm",1379358,76,117676432
"lmInternal",76862,76,117676432
"lm",1247185,77,117676432
"lmFast",744,77,117676432
"lmInternal",55018,77,117676432
"lmInternal",75879,78,117676432
"lm",1113431,78,117676432
"lmFast",681,78,117676432
"lmFast",1051,79,117676432
"lm",1124372,79,117676432
"lmInternal",53508,79,117676432
"lmFast",2568,80,117676432
"lm",1302864,80,117676432
"lmInternal",70099,80,117676432
"lm",1232081,81,117676432
"lmInternal",55304,81,117676432
"lmFast",747,81,117676432
"lmInternal",117221,82,117676432
"lm",1349196,82,117676432
"lmFast",1323,82,117676432
"lm",1186583,83,117676432
"lmFast",791,83,117676432
"lmInternal",55301,83,117676432
"lmFast",1357,84,117676432
"lm",1220407,84,117676432
"lmInternal",72462,84,117676432
"lmFast",1765,85,117676432
"lm",1173313,85,117676432
"lmInternal",55398,85,117676432
"lmInternal",76968,86,117676432
"lm",1211247,86,117676432
"lmFast",1264,86,117676432
"lmInternal",82598,87,117676432
"lmFast",939,87,117676432
"lm",1246067,87,117676432
"lmFast",1771,88,117676432
"lmInternal",85508,88,117676432
"lm",1151697,88,117676432
"lmInternal",85574,89,117676432
"lm",1213850,89,117676432
"lmFast",770,89,117676432
"lmFast",1546,90,117676432
"lm",1170883,90,117676432
"lmInternal",58199,90,117676432
"lm",1789969,91,117676432
"lmInternal",90560,91,117676432
"lmFast",1696,91,117676432
"lmFast",15853,92,117676432
"lmInternal",108749,92,117676432
"lm",1275697,92,117676432
"lmFast",1304,93,117676432
"lm",1174189,93,117676432
"lmInternal",54571,93,117676432
"lmFast",1125,94,117676432
"lmInternal",100924,94,117676432
"lm",1164912,94,117676432
"lmFast",1409,95,117676432
"lmInternal",89802,95,117676432
"lm",1199246,95,117676432
"lmFast",1036,96,117676432
"lmInternal",82362,96,117676432
"lm",1190089,96,117676432
"lmFast",13906,97,117676432
"lmInternal",93255,97,117676432
"lm",1298845,97,117676432
"lmFast",1232,98,117676432
"lmInternal",84480,98,117676432
"lm",1009809,98,117676432
"lmFast",1139,99,117676432
"lm",1107052,99,117676432
"lmInternal",51712,99,117676432
"lmInternal",80297,100,117676432
"lm",1064182,100,117676432
"lmFast",746,100,117676432
