expr,time,trial,mat_size,memory_used
ArmadilloIterator,186571,49,1,78784056
Rbase,20921,50,1,78784128
ArmadilloBase,93692,50,1,78784128
ArmadilloIterator,87926,50,1,78784128
ArmadilloIterator,154024,51,1,78784224
Rbase,9489,51,1,78784224
ArmadilloBase,41897,51,1,78784224
ArmadilloBase,140546,52,1,78784296
ArmadilloIterator,75543,52,1,78784296
Rbase,7664,52,1,78784296
ArmadilloIterator,158292,53,1,78784392
ArmadilloBase,41275,53,1,78784392
Rbase,4938,53,1,78784392
Rbase,22678,54,1,78784464
ArmadilloIterator,151005,54,1,78784464
ArmadilloBase,71098,54,1,78784464
ArmadilloIterator,165671,55,1,78784576
ArmadilloBase,42751,55,1,78784576
Rbase,4909,55,1,78784576
ArmadilloIterator,170012,56,1,78784672
Rbase,30720,56,1,78784672
ArmadilloBase,48031,56,1,78784672
Rbase,22380,57,1,78784744
ArmadilloBase,88628,57,1,78784744
ArmadilloIterator,78432,57,1,78784744
Rbase,21751,58,1,78784840
ArmadilloBase,111459,58,1,78784840
ArmadilloIterator,85753,58,1,78784840
Rbase,19739,59,1,78784912
ArmadilloBase,107708,59,1,78784912
ArmadilloIterator,79002,59,1,78784912
Rbase,78097,60,1,78785008
ArmadilloIterator,247322,60,1,78785008
ArmadilloBase,50166,60,1,78785008
ArmadilloIterator,193994,61,1,78785120
Rbase,9766,61,1,78785120
ArmadilloBase,37696,61,1,78785120
Rbase,48563,62,1,78785192
ArmadilloIterator,226297,62,1,78785192
ArmadilloBase,46231,62,1,78785192
ArmadilloIterator,439597,63,1,78785288
Rbase,36599,63,1,78785288
ArmadilloBase,184107,63,1,78785288
ArmadilloIterator,322833,64,1,78785360
ArmadilloBase,92349,64,1,78785360
Rbase,7616,64,1,78785360
Rbase,22568,65,1,78785456
ArmadilloBase,108230,65,1,78785456
ArmadilloIterator,89867,65,1,78785456
ArmadilloIterator,152255,66,1,78785528
ArmadilloBase,38554,66,1,78785528
Rbase,5305,66,1,78785528
ArmadilloBase,143512,67,1,78785624
Rbase,7708,67,1,78785624
ArmadilloIterator,125578,67,1,78785624
ArmadilloBase,252520,68,1,78785736
Rbase,17530,68,1,78785736
ArmadilloIterator,179777,68,1,78785736
ArmadilloBase,108077,69,1,78785808
Rbase,5635,69,1,78785808
ArmadilloIterator,115731,69,1,78785808
Rbase,34224,70,1,78785904
ArmadilloIterator,212628,70,1,78785904
ArmadilloBase,70284,70,1,78785904
Rbase,38197,71,1,78785976
ArmadilloBase,139001,71,1,78785976
ArmadilloIterator,114230,71,1,78785976
Rbase,60533,72,1,78786072
ArmadilloBase,313302,72,1,78786072
ArmadilloIterator,155727,72,1,78786072
Rbase,19654,73,1,78786144
ArmadilloBase,91750,73,1,78786144
ArmadilloIterator,90653,73,1,78786144
Rbase,23958,74,1,78786240
ArmadilloBase,130164,74,1,78786240
ArmadilloIterator,94145,74,1,78786240
ArmadilloBase,184699,75,1,78786352
ArmadilloIterator,96276,75,1,78786352
Rbase,5811,75,1,78786352
ArmadilloBase,155121,76,1,78786424
ArmadilloIterator,144833,76,1,78786424
Rbase,7605,76,1,78786424
ArmadilloIterator,204154,77,1,78786520
ArmadilloBase,38343,77,1,78786520
Rbase,5161,77,1,78786520
Rbase,18039,78,1,78786592
ArmadilloBase,98746,78,1,78786592
ArmadilloIterator,80100,78,1,78786592
ArmadilloBase,100143,79,1,78786688
Rbase,5154,79,1,78786688
ArmadilloIterator,79522,79,1,78786688
Rbase,19995,80,1,78786760
ArmadilloIterator,157557,80,1,78786760
ArmadilloBase,32494,80,1,78786760
ArmadilloBase,121764,81,1,78786872
ArmadilloIterator,148612,81,1,78786872
Rbase,7320,81,1,78786872
ArmadilloIterator,175452,82,1,78786968
Rbase,10229,82,1,78786968
ArmadilloBase,36843,82,1,78786968
ArmadilloBase,119283,83,1,78787040
ArmadilloIterator,90945,83,1,78787040
Rbase,5706,83,1,78787040
ArmadilloIterator,160511,84,1,78787136
ArmadilloBase,45126,84,1,78787136
Rbase,5779,84,1,78787136
ArmadilloBase,164415,85,1,78787208
Rbase,6105,85,1,78787208
ArmadilloIterator,142195,85,1,78787208
ArmadilloBase,91669,86,1,78787304
ArmadilloIterator,76789,86,1,78787304
Rbase,5160,86,1,78787304
ArmadilloIterator,157340,87,1,78787376
Rbase,8795,87,1,78787376
ArmadilloBase,34139,87,1,78787376
Rbase,22144,88,1,78787488
ArmadilloIterator,180794,88,1,78787488
ArmadilloBase,58635,88,1,78787488
Rbase,20200,89,1,78787584
ArmadilloBase,85568,89,1,78787584
ArmadilloIterator,79439,89,1,78787584
ArmadilloBase,123564,90,1,78787656
ArmadilloIterator,88975,90,1,78787656
Rbase,5460,90,1,78787656
ArmadilloBase,100628,91,1,78787752
Rbase,5188,91,1,78787752
ArmadilloIterator,100785,91,1,78787752
ArmadilloIterator,151755,92,1,78787824
Rbase,12325,92,1,78787824
ArmadilloBase,50858,92,1,78787824
ArmadilloBase,171134,93,1,78787920
Rbase,8706,93,1,78787920
ArmadilloIterator,135614,93,1,78787920
ArmadilloBase,105231,94,1,78787992
Rbase,4915,94,1,78787992
ArmadilloIterator,102206,94,1,78787992
ArmadilloIterator,363262,95,1,78788104
ArmadilloBase,68317,95,1,78788104
Rbase,5536,95,1,78788104
ArmadilloBase,99668,96,1,78788200
Rbase,5754,96,1,78788200
ArmadilloIterator,82883,96,1,78788200
Rbase,59453,97,1,78788272
ArmadilloIterator,215549,97,1,78788272
ArmadilloBase,46403,97,1,78788272
ArmadilloIterator,176545,98,1,78788368
Rbase,11180,98,1,78788368
ArmadilloBase,41717,98,1,78788368
ArmadilloIterator,160911,99,1,78788440
ArmadilloBase,40239,99,1,78788440
