expr,time,trial,mat_size,memory_used
RparallelRow,34548809,37,1,51526000
RparallelColumn,50047852,37,1,51526000
RcppParallel,229936,37,1,51526000
RcppOpenMP,144780,37,1,51526000
RparallelRow,40829177,38,1,51526112
RparallelColumn,55911998,38,1,51526112
RcppParallel,244293,38,1,51526112
RcppOpenMP,174881,38,1,51526112
RcppOpenMP,173959,39,1,51526224
RparallelColumn,43507169,39,1,51526224
RparallelRow,40032928,39,1,51526224
RcppParallel,253873,39,1,51526224
RcppOpenMP,185028,40,1,51526336
RcppParallel,169774,40,1,51526336
RparallelColumn,44309262,40,1,51526336
RparallelRow,40830042,40,1,51526336
RparallelColumn,42327185,41,1,51526464
RparallelRow,38155047,41,1,51526464
RcppOpenMP,213921,41,1,51526464
RcppParallel,189927,41,1,51526464
RcppOpenMP,183319,42,1,51526576
RparallelRow,35528294,42,1,51526576
RcppParallel,296796,42,1,51526576
RparallelColumn,50941102,42,1,51526576
RparallelColumn,45216861,43,1,51526688
RparallelRow,42869436,43,1,51526688
RcppParallel,306217,43,1,51526688
RcppOpenMP,187788,43,1,51526688
RparallelRow,37134031,44,1,51526800
RcppParallel,299374,44,1,51526800
RcppOpenMP,177229,44,1,51526800
RparallelColumn,52838572,44,1,51526800
RcppOpenMP,202034,45,1,51526912
RcppParallel,187503,45,1,51526912
RparallelRow,30532382,45,1,51526912
RparallelColumn,48568287,45,1,51526912
RcppParallel,251761,46,1,51527064
RparallelRow,36468657,46,1,51527064
RcppOpenMP,194226,46,1,51527064
RparallelColumn,50015514,46,1,51527064
RcppParallel,277612,47,1,51527176
RcppOpenMP,191293,47,1,51527176
RparallelColumn,42841015,47,1,51527176
RparallelRow,37814360,47,1,51527176
RcppOpenMP,221872,48,1,51527288
RcppParallel,175106,48,1,51527288
RparallelRow,32484097,48,1,51527288
RparallelColumn,48545961,48,1,51527288
RcppParallel,249992,49,1,51527400
RcppOpenMP,181415,49,1,51527400
RparallelColumn,44799992,49,1,51527400
RparallelRow,37825802,49,1,51527400
RcppParallel,218857,50,1,51527512
RcppOpenMP,167832,50,1,51527512
RparallelColumn,43144920,50,1,51527512
RparallelRow,35703631,50,1,51527512
RparallelColumn,44321971,51,1,51527640
RcppOpenMP,202564,51,1,51527640
RparallelRow,40095399,51,1,51527640
RcppParallel,265258,51,1,51527640
RparallelRow,34782780,52,1,51527752
RcppOpenMP,192219,52,1,51527752
RcppParallel,223609,52,1,51527752
RparallelColumn,56750296,52,1,51527752
RparallelRow,37496282,53,1,51527864
RparallelColumn,48878021,53,1,51527864
RcppOpenMP,216790,53,1,51527864
RcppParallel,189679,53,1,51527864
RcppParallel,262123,54,1,51527976
RcppOpenMP,145948,54,1,51527976
RparallelColumn,44123762,54,1,51527976
RparallelRow,35681364,54,1,51527976
RparallelRow,36919345,55,1,51528088
RcppOpenMP,199440,55,1,51528088
RparallelColumn,51514730,55,1,51528088
RcppParallel,249917,55,1,51528088
RcppOpenMP,224434,56,1,51528240
RparallelRow,37020877,56,1,51528240
RcppParallel,282056,56,1,51528240
RparallelColumn,51079353,56,1,51528240
RparallelColumn,44135871,57,1,51528352
RcppParallel,233378,57,1,51528352
RcppOpenMP,207335,57,1,51528352
RparallelRow,43624004,57,1,51528352
RparallelColumn,45543580,58,1,51528464
RcppOpenMP,193767,58,1,51528464
RcppParallel,186977,58,1,51528464
RparallelRow,37910288,58,1,51528464
RparallelColumn,43670464,59,1,51528576
RparallelRow,44200351,59,1,51528576
RcppOpenMP,233454,59,1,51528576
RcppParallel,259921,59,1,51528576
RparallelRow,39016137,60,1,51528688
RcppParallel,274545,60,1,51528688
RparallelColumn,52516623,60,1,51528688
RcppOpenMP,178901,60,1,51528688
RparallelColumn,43596743,61,1,51528816
RcppOpenMP,209102,61,1,51528816
RparallelRow,44757716,61,1,51528816
RcppParallel,298671,61,1,51528816
RcppParallel,231421,62,1,51528928
RcppOpenMP,201976,62,1,51528928
RparallelRow,37092184,62,1,51528928
RparallelColumn,48703117,62,1,51528928
RcppOpenMP,218957,63,1,51529040
RcppParallel,177227,63,1,51529040
RparallelColumn,43860637,63,1,51529040
RparallelRow,36803897,63,1,51529040
RcppParallel,268549,64,1,51529152
RcppOpenMP,184428,64,1,51529152
RparallelColumn,43632755,64,1,51529152
RparallelRow,40462463,64,1,51529152
RparallelRow,36387029,65,1,51529264
RparallelColumn,51791410,65,1,51529264
RcppParallel,224964,65,1,51529264
RcppOpenMP,171821,65,1,51529264
RcppParallel,292740,66,1,51529416
RparallelRow,37418022,66,1,51529416
RparallelColumn,50989242,66,1,51529416
RcppOpenMP,193511,66,1,51529416
RparallelRow,36755808,67,1,51529528
RcppParallel,250123,67,1,51529528
RcppOpenMP,2708454,67,1,51529528
RparallelColumn,52797727,67,1,51529528
RparallelColumn,43613876,68,1,51529640
RcppParallel,238000,68,1,51529640
RcppOpenMP,138834,68,1,51529640
RparallelRow,39632828,68,1,51529640
RparallelColumn,43749628,69,1,51529752
RparallelRow,39658690,69,1,51529752
RcppOpenMP,211700,69,1,51529752
RcppParallel,231137,69,1,51529752
RcppParallel,209203,70,1,51529864
RcppOpenMP,177617,70,1,51529864
RparallelColumn,45309561,70,1,51529864
RparallelRow,44107918,70,1,51529864
RcppParallel,218180,71,1,51529992
RparallelRow,37139820,71,1,51529992
RparallelColumn,51827271,71,1,51529992
RcppOpenMP,168946,71,1,51529992
RcppOpenMP,178220,72,1,51530104
RcppParallel,175824,72,1,51530104
RparallelColumn,44462279,72,1,51530104
RparallelRow,45079689,72,1,51530104
RparallelColumn,43061238,73,1,51530216
RcppParallel,299946,73,1,51530216
RcppOpenMP,212414,73,1,51530216
RparallelRow,43770650,73,1,51530216
RparallelColumn,44730972,74,1,51530328
RcppOpenMP,197545,74,1,51530328
RcppParallel,189518,74,1,51530328
RparallelRow,36658539,74,1,51530328
RparallelRow,33141447,75,1,51530440
RparallelColumn,49929157,75,1,51530440
RcppParallel,203548,75,1,51530440
RcppOpenMP,182145,75,1,51530440
RcppOpenMP,171019,76,1,51530592
RcppParallel,171519,76,1,51530592
RparallelColumn,43412440,76,1,51530592
RparallelRow,41128749,76,1,51530592
RcppParallel,227335,77,1,51530704
RcppOpenMP,187430,77,1,51530704
RparallelColumn,44868609,77,1,51530704
RparallelRow,39103200,77,1,51530704
RparallelColumn,43519371,78,1,51530816
RcppParallel,237431,78,1,51530816
RcppOpenMP,193649,78,1,51530816
RparallelRow,40117549,78,1,51530816
RparallelColumn,44355165,79,1,51530928
RcppOpenMP,223894,79,1,51530928
RparallelRow,38521574,79,1,51530928
RcppParallel,288623,79,1,51530928
RparallelColumn,42690633,80,1,51531040
RparallelRow,40259531,80,1,51531040
RcppParallel,263596,80,1,51531040
RcppOpenMP,208898,80,1,51531040
RparallelColumn,44362392,81,1,51531168
RparallelRow,38645056,81,1,51531168
RcppOpenMP,224001,81,1,51531168
RcppParallel,220612,81,1,51531168
RcppParallel,226423,82,1,51531280
RparallelRow,35959268,82,1,51531280
RcppOpenMP,210732,82,1,51531280
RparallelColumn,49830415,82,1,51531280
RcppParallel,246096,83,1,51531392
RparallelColumn,43581894,83,1,51531392
RcppOpenMP,246876,83,1,51531392
RparallelRow,37373699,83,1,51531392
RparallelRow,35946317,84,1,51531504
RparallelColumn,49729365,84,1,51531504
RcppParallel,190999,84,1,51531504
RcppOpenMP,183562,84,1,51531504
RparallelColumn,44044626,85,1,51531616
RcppParallel,228399,85,1,51531616
RcppOpenMP,159180,85,1,51531616
RparallelRow,36998342,85,1,51531616
RcppParallel,250531,86,1,51531768
RcppOpenMP,194272,86,1,51531768
RparallelRow,38306706,86,1,51531768
RparallelColumn,57011642,86,1,51531768
RparallelColumn,43586736,87,1,51531880
RcppParallel,203642,87,1,51531880
RparallelRow,39844169,87,1,51531880
RcppOpenMP,238207,87,1,51531880
RcppOpenMP,227721,88,1,51531992
RcppParallel,189744,88,1,51531992
RparallelColumn,43833783,88,1,51531992
RparallelRow,35852948,88,1,51531992
RcppParallel,257951,89,1,51532104
RparallelRow,35589917,89,1,51532104
