"expr","time","trial","mat_size","memory_used"
"ArmadilloBase",84246,16,1,133408840
"ArmadilloIterator",71961,16,1,133408840
"Rbase",5015,16,1,133408840
"ArmadilloIterator",6568423,16,2,133408840
"ArmadilloBase",122492,16,2,133408840
"Rbase",72999,16,2,133408840
"Rbase",45908207,16,3,133408840
"ArmadilloIterator",4232561284,16,3,133408840
"ArmadilloBase",49683475,16,3,133408840
"ArmadilloIterator",165238,17,1,133408840
"Rbase",11223,17,1,133408840
"ArmadilloBase",37704,17,1,133408840
"ArmadilloIterator",6499927,17,2,133408840
"Rbase",83582,17,2,133408840
"ArmadilloBase",112275,17,2,133408840
"ArmadilloBase",44635305,17,3,133408840
"Rbase",45285884,17,3,133408840
"ArmadilloIterator",4215252520,17,3,133408840
"ArmadilloBase",61849,18,1,133408840
"Rbase",3963,18,1,133408840
"ArmadilloIterator",60045,18,1,133408840
"Rbase",124009,18,2,133408840
"ArmadilloIterator",6714056,18,2,133408840
"ArmadilloBase",110430,18,2,133408840
"ArmadilloIterator",4162721396,18,3,133408840
"Rbase",51535488,18,3,133408840
"ArmadilloBase",51253033,18,3,133408840
"Rbase",12312,19,1,133408840
"ArmadilloIterator",95298,19,1,133408840
"ArmadilloBase",22600,19,1,133408840
"ArmadilloBase",198173,19,2,133408840
"ArmadilloIterator",6743307,19,2,133408840
"Rbase",103880,19,2,133408840
"ArmadilloIterator",4246851801,19,3,133408840
"Rbase",48400784,19,3,133408840
"ArmadilloBase",48498609,19,3,133408840
"ArmadilloIterator",157486,20,1,133408840
"ArmadilloBase",35453,20,1,133408840
"Rbase",4679,20,1,133408840
"ArmadilloBase",176321,20,2,133408840
"ArmadilloIterator",6503342,20,2,133408840
"Rbase",75644,20,2,133408840
"Rbase",43291747,20,3,133408840
"ArmadilloIterator",4263851739,20,3,133408840
"ArmadilloBase",46497462,20,3,133408840
"Rbase",16373,21,1,133408840
"ArmadilloIterator",110706,21,1,133408840
"ArmadilloBase",25447,21,1,133408840
"ArmadilloBase",198090,21,2,133408840
"Rbase",87970,21,2,133408840
"ArmadilloIterator",7201032,21,2,133408840
"ArmadilloIterator",4199339787,21,3,133408840
"ArmadilloBase",49677847,21,3,133408840
"Rbase",47238046,21,3,133408840
"ArmadilloBase",81269,22,1,133408840
"ArmadilloIterator",78763,22,1,133408840
"Rbase",4828,22,1,133408840
"ArmadilloIterator",6513021,22,2,133408840
"Rbase",84045,22,2,133408840
"ArmadilloBase",113970,22,2,133408840
"ArmadilloBase",44118470,22,3,133408840
"Rbase",43530250,22,3,133408840
"ArmadilloIterator",4297015001,22,3,133408840
"ArmadilloBase",61128,23,1,133408840
"ArmadilloIterator",69594,23,1,133408840
"Rbase",11842,23,1,133408840
"ArmadilloBase",205393,23,2,133408840
"ArmadilloIterator",6606674,23,2,133408840
"Rbase",97425,23,2,133408840
"Rbase",47822435,23,3,133408840
"ArmadilloBase",50625408,23,3,133408840
"ArmadilloIterator",4226411107,23,3,133408840
